"TAB_MEASURE_LABEL","n"
"Établissements – Fonction Publique x Établissements appartenant à la sphère productive",41813
"Établissements – Agriculture, sylviculture et pêche x 50 à 99 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 200 à 499 salariés",41813
"Établissements – Construction x 5 à 9 salariés",41813
"Établissements – Services principalement marchands x 20 à 49 salariés",41813
"Effectifs présents la dernière semaine de décembre – Ensemble hors particuliers employeurs",41813
"Établissements – Construction x 50 à 99 salariés",41813
"Effectifs présents la dernière semaine de décembre – 50 à 99 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 200 à 499 salariés",41813
"Établissements – Agriculture, sylviculture et pêche x 1 à 4 salariés",41813
"Effectifs présents la dernière semaine de décembre",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 5 à 9 salariés",41813
"Effectifs présents la dernière semaine de décembre – 100 à 199 salariés",41813
"Effectifs présents la dernière semaine de décembre – 5 à 9 salariés",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 500 salariés et plus",41813
"Établissements – Agriculture, sylviculture et pêche x 10 à 19 salariés",41813
"Établissements – Agriculture, sylviculture et pêche x 200 à 499 salariés",41813
"Établissements – Agriculture, sylviculture et pêche x 100 à 199 salariés",41813
"Établissements – Construction x 0 salarié",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 50 à 99 salariés",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 100 à 199 salariés",41813
"Établissements – Construction x 200 à 499 salariés",41813
"Effectifs présents la dernière semaine de décembre – Construction x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 1 à 4 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 20 à 49 salariés",41813
